1;1801-BB-6042-43102-0001.00;2018-01-01;2; $290.00 ; $30,441.25 ;BB-6042;EGRESOS;EMPRESA 1;1
2;1801-BB-7863-43102-0001.00;2018-01-02;2; $290.00 ; $7,232.96 ;BB-7863;EGRESOS;EMPRESA 6;1
3;1801-BC-2046-43102-0002.00;2018-01-02;3; $1.57 ; $48,582.06 ;BC-2046;EGRESOS;EMPRESA 6;1
4;1801-BC-3616-43102-0002.00;2018-01-02;3; $3.09 ; $521,164.01 ;BC-3616;EGRESOS;EMPRESA 27;1
5;1801-BC-4839-43102-0001.00;2018-01-02;3; $16.00 ; $82,831.49 ;BC-4839;EGRESOS;EMPRESA 8;1
6;1801-BC-4839-43102-0002.00;2018-01-02;3; $2.56 ; $82,828.93 ;BC-4839;EGRESOS;EMPRESA 8;1
7;1801-BC-7911-43102-0002.00;2018-01-02;3; $19.39 ; $57,081.74 ;BC-7911;EGRESOS;EMPRESA 44;1
8;1801-BC-8823-43102-0002.00;2018-01-02;3; $3.36 ; $47,400.09 ;BC-8823;EGRESOS;EMPRESA 41;1
9;1801-ST-1206-43102-0002.00;2018-01-02;16; $10.02 ; $29,999.50 ;ST-1206;EGRESOS;EMPRESA 54;1
10;1801-ST-1206-43102-0003.00;2018-01-02;16; $1,500.00 ; $28,499.50 ;ST-1206;EGRESOS;EMPRESA 54;1
11;1801-ST-1206-43102-0004.00;2018-01-02;16; $240.00 ; $28,259.50 ;ST-1206;EGRESOS;EMPRESA 54;1
12;1801-ST-2166-43102-0002.00;2018-01-02;16; $10.10 ; $40,374.66 ;ST-2166;EGRESOS;EMPRESA 59;1
13;1801-ST-2213-43102-0001.00;2018-01-02;16; $1,500.00 ; $7,082.28 ;ST-2213;EGRESOS;EMPRESA 47;1
14;1801-ST-2213-43102-0002.00;2018-01-02;16; $240.00 ; $6,842.28 ;ST-2213;EGRESOS;EMPRESA 47;1
15;1801-ST-2226-43102-0001.00;2018-01-02;16; $200.00 ; $857.13 ;ST-2226;EGRESOS;EMPRESA 60;1
16;1801-ST-2226-43102-0002.00;2018-01-02;16; $32.00 ; $825.13 ;ST-2226;EGRESOS;EMPRESA 60;1
17;1801-ST-2334-43102-0001.00;2018-01-02;16; $7.55 ; $44,273.24 ;ST-2334;EGRESOS;EMPRESA 61;1
18;1801-ST-2368-43102-0001.00;2018-01-02;16; $1,500.00 ; $5,467.86 ;ST-2368;EGRESOS;EMPRESA 62;1
19;1801-ST-2368-43102-0002.00;2018-01-02;16; $240.00 ; $5,227.86 ;ST-2368;EGRESOS;EMPRESA 62;1
20;1801-ST-2382-43102-0001.00;2018-01-02;16; $7.70 ; $45,559.36 ;ST-2382;EGRESOS;EMPRESA 63;1
21;1801-ST-3222-43102-0001.00;2018-01-02;16; $1,500.00 ; $44,396.01 ;ST-3222;EGRESOS;EMPRESA 41;1
22;1801-ST-3222-43102-0002.00;2018-01-02;16; $240.00 ; $44,156.01 ;ST-3222;EGRESOS;EMPRESA 41;1
23;1801-ST-3361-43102-0001.00;2018-01-02;16; $1,500.00 ; $1,140,384.69 ;ST-3361;EGRESOS;EMPRESA 66;1
24;1801-ST-3361-43102-0002.00;2018-01-02;16; $240.00 ; $1,140,144.69 ;ST-3361;EGRESOS;EMPRESA 66;1
25;1801-ST-3459-43102-0001.00;2018-01-02;16; $1,500.00 ; $27,970.88 ;ST-3459;EGRESOS;EMPRESA 1;1
26;1801-ST-3459-43102-0002.00;2018-01-02;16; $240.00 ; $27,730.88 ;ST-3459;EGRESOS;EMPRESA 1;1
27;1801-ST-4827-43102-0001.00;2018-01-02;16; $1,500.00 ; $20,666.96 ;ST-4827;EGRESOS;EMPRESA 27;1
28;1801-ST-4827-43102-0002.00;2018-01-02;16; $240.00 ; $20,426.96 ;ST-4827;EGRESOS;EMPRESA 27;1
29;1801-ST-5026-43102-0002.00;2018-01-02;3; $4.34 ; $56,896.69 ;ST-5026;EGRESOS;EMPRESA 6;1
30;1801-ST-5026-43102-0003.00;2018-01-02;16; $1,500.00 ; $55,396.69 ;ST-5026;EGRESOS;EMPRESA 6;1
31;1801-ST-5026-43102-0004.00;2018-01-02;16; $240.00 ; $55,156.69 ;ST-5026;EGRESOS;EMPRESA 6;1
32;1801-ST-5151-43102-0001.00;2018-01-02;16; $1,500.00 ; $328,971.00 ;ST-5151;EGRESOS;EMPRESA 44;1
33;1801-ST-5151-43102-0002.00;2018-01-02;16; $240.00 ; $328,731.00 ;ST-5151;EGRESOS;EMPRESA 44;1
34;1801-ST-5294-43102-0002.00;2018-01-02;16; $7.47 ; $45,819.55 ;ST-5294;EGRESOS;EMPRESA 67;1
35;1801-ST-5294-43102-0003.00;2018-01-02;16; $1,500.00 ; $44,319.55 ;ST-5294;EGRESOS;EMPRESA 67;1
36;1801-ST-5294-43102-0004.00;2018-01-02;16; $240.00 ; $44,079.55 ;ST-5294;EGRESOS;EMPRESA 67;1
37;1801-ST-5306-43102-0002.00;2018-01-02;16; $39.55 ; $27,348.41 ;ST-5306;EGRESOS;EMPRESA 68;1
38;1801-ST-5306-43102-0003.00;2018-01-02;16; $1,500.00 ; $25,848.41 ;ST-5306;EGRESOS;EMPRESA 68;1
39;1801-ST-5306-43102-0004.00;2018-01-02;16; $240.00 ; $25,608.41 ;ST-5306;EGRESOS;EMPRESA 68;1
40;1801-ST-7521-43102-0001.00;2018-01-02;16; $1,500.00 ; $28,896.00 ;ST-7521;EGRESOS;EMPRESA 22;1
41;1801-ST-7521-43102-0002.00;2018-01-02;16; $240.00 ; $28,656.00 ;ST-7521;EGRESOS;EMPRESA 22;1
42;1801-ST-8299-43102-0001.00;2018-01-02;16; $1,500.00 ; $38,676.25 ;ST-8299;EGRESOS;EMPRESA 8;1
43;1801-ST-8299-43102-0002.00;2018-01-02;16; $240.00 ; $38,436.25 ;ST-8299;EGRESOS;EMPRESA 8;1
44;1801-ST-8589-43102-0001.00;2018-01-02;16; $1,500.00 ; $655,701.25 ;ST-8589;EGRESOS;EMPRESA 69;1
45;1801-ST-8589-43102-0002.00;2018-01-02;16; $240.00 ; $655,461.25 ;ST-8589;EGRESOS;EMPRESA 69;1
46;1801-BC-0235-43103-0001.00;2018-01-03;3; $77.40 ; $55,622.45 ;BC-0235;EGRESOS;EMPRESA 72;1
47;1801-BC-0235-43103-0002.00;2018-01-03;3; $12.38 ; $55,610.07 ;BC-0235;EGRESOS;EMPRESA 72;1
48;1801-BC-0235-43103-0003.00;2018-01-03;3; $830.00 ; $54,780.07 ;BC-0235;EGRESOS;EMPRESA 72;1
49;1801-BC-0235-43103-0004.00;2018-01-03;3; $132.80 ; $54,647.27 ;BC-0235;EGRESOS;EMPRESA 72;1
50;1801-BC-1009-43103-0001.00;2018-01-03;3; $426.40 ; $55,633.32 ;BC-1009;EGRESOS;EMPRESA 54;1
51;1801-BC-1009-43103-0002.00;2018-01-03;3; $68.22 ; $55,565.10 ;BC-1009;EGRESOS;EMPRESA 54;1
52;1801-BC-1009-43103-0003.00;2018-01-03;3; $830.00 ; $54,735.10 ;BC-1009;EGRESOS;EMPRESA 54;1
53;1801-BC-1009-43103-0004.00;2018-01-03;3; $132.80 ; $54,602.30 ;BC-1009;EGRESOS;EMPRESA 54;1
54;1801-BC-1119-43103-0001.00;2018-01-03;3; $422.45 ; $52,306.58 ;BC-1119;EGRESOS;EMPRESA 67;1
55;1801-BC-1119-43103-0002.00;2018-01-03;3; $67.59 ; $52,238.99 ;BC-1119;EGRESOS;EMPRESA 67;1
56;1801-BC-1119-43103-0003.00;2018-01-03;3; $830.00 ; $51,408.99 ;BC-1119;EGRESOS;EMPRESA 67;1
57;1801-BC-1119-43103-0004.00;2018-01-03;3; $132.80 ; $51,276.19 ;BC-1119;EGRESOS;EMPRESA 67;1
58;1801-BC-1381-43103-0001.00;2018-01-03;3; $514.20 ; $77,442.27 ;BC-1381;EGRESOS;EMPRESA 68;1
59;1801-BC-1381-43103-0002.00;2018-01-03;3; $82.27 ; $77,360.00 ;BC-1381;EGRESOS;EMPRESA 68;1
60;1801-BC-1381-43103-0003.00;2018-01-03;3; $830.00 ; $76,530.00 ;BC-1381;EGRESOS;EMPRESA 68;1
61;1801-BC-1381-43103-0004.00;2018-01-03;3; $132.80 ; $76,397.20 ;BC-1381;EGRESOS;EMPRESA 68;1
62;1801-BC-1877-43103-0001.00;2018-01-03;3; $780.90 ; $107,024.02 ;BC-1877;EGRESOS;EMPRESA 66;1
63;1801-BC-1877-43103-0002.00;2018-01-03;3; $124.94 ; $106,899.08 ;BC-1877;EGRESOS;EMPRESA 66;1
64;1801-BC-1877-43103-0003.00;2018-01-03;3; $830.00 ; $106,069.08 ;BC-1877;EGRESOS;EMPRESA 66;1
65;1801-BC-1877-43103-0004.00;2018-01-03;3; $132.80 ; $105,936.28 ;BC-1877;EGRESOS;EMPRESA 66;1
66;1801-BC-1880-43103-0001.00;2018-01-03;3; $92.60 ; $65,332.58 ;BC-1880;EGRESOS;EMPRESA 73;1
67;1801-BC-1880-43103-0002.00;2018-01-03;3; $14.81 ; $65,317.77 ;BC-1880;EGRESOS;EMPRESA 73;1
68;1801-BC-1880-43103-0003.00;2018-01-03;3; $830.00 ; $64,487.77 ;BC-1880;EGRESOS;EMPRESA 73;1
69;1801-BC-1880-43103-0004.00;2018-01-03;3; $132.80 ; $64,354.97 ;BC-1880;EGRESOS;EMPRESA 73;1
70;1801-BC-2046-43103-0001.00;2018-01-03;3; $398.40 ; $48,183.66 ;BC-2046;EGRESOS;EMPRESA 6;1
71;1801-BC-2046-43103-0002.00;2018-01-03;3; $63.74 ; $48,119.92 ;BC-2046;EGRESOS;EMPRESA 6;1
72;1801-BC-2046-43103-0003.00;2018-01-03;3; $830.00 ; $47,289.92 ;BC-2046;EGRESOS;EMPRESA 6;1
73;1801-BC-2046-43103-0004.00;2018-01-03;3; $132.80 ; $47,157.12 ;BC-2046;EGRESOS;EMPRESA 6;1
74;1801-BC-3616-43103-0001.00;2018-01-03;3; $525.05 ; $520,638.96 ;BC-3616;EGRESOS;EMPRESA 27;1
75;1801-BC-3616-43103-0002.00;2018-01-03;3; $84.00 ; $520,554.96 ;BC-3616;EGRESOS;EMPRESA 27;1
76;1801-BC-3616-43103-0003.00;2018-01-03;3; $830.00 ; $519,724.96 ;BC-3616;EGRESOS;EMPRESA 27;1
77;1801-BC-3616-43103-0004.00;2018-01-03;3; $132.80 ; $519,592.16 ;BC-3616;EGRESOS;EMPRESA 27;1
78;1801-BC-4761-43103-0001.00;2018-01-03;3; $132.80 ; $36,150.60 ;BC-4761;EGRESOS;EMPRESA 74;1
79;1801-BC-4761-43103-0002.00;2018-01-03;3; $830.00 ; $35,320.60 ;BC-4761;EGRESOS;EMPRESA 74;1
80;1801-BC-4761-43103-0003.00;2018-01-03;3; $0.96 ; $35,319.64 ;BC-4761;EGRESOS;EMPRESA 74;1
81;1801-BC-4761-43103-0004.00;2018-01-03;3; $6.00 ; $35,313.64 ;BC-4761;EGRESOS;EMPRESA 74;1
82;1801-BC-4839-43103-0001.00;2018-01-03;3; $629.45 ; $82,199.48 ;BC-4839;EGRESOS;EMPRESA 8;1
83;1801-BC-4839-43103-0002.00;2018-01-03;3; $100.71 ; $82,098.77 ;BC-4839;EGRESOS;EMPRESA 8;1
84;1801-BC-4839-43103-0003.00;2018-01-03;3; $830.00 ; $81,268.77 ;BC-4839;EGRESOS;EMPRESA 8;1
85;1801-BC-4839-43103-0004.00;2018-01-03;3; $132.80 ; $81,135.97 ;BC-4839;EGRESOS;EMPRESA 8;1
86;1801-BC-5649-43103-0001.00;2018-01-03;3; $154.45 ; $38,771.86 ;BC-5649;EGRESOS;EMPRESA 75;1
87;1801-BC-5649-43103-0002.00;2018-01-03;3; $24.71 ; $38,747.15 ;BC-5649;EGRESOS;EMPRESA 75;1
88;1801-BC-5649-43103-0003.00;2018-01-03;3; $830.00 ; $37,917.15 ;BC-5649;EGRESOS;EMPRESA 75;1
89;1801-BC-5649-43103-0004.00;2018-01-03;3; $132.80 ; $37,784.35 ;BC-5649;EGRESOS;EMPRESA 75;1
90;1801-BC-5688-43103-0001.00;2018-01-03;3; $606.65 ; $40,605.16 ;BC-5688;EGRESOS;EMPRESA 1;1
91;1801-BC-5688-43103-0002.00;2018-01-03;3; $97.06 ; $40,508.10 ;BC-5688;EGRESOS;EMPRESA 1;1
92;1801-BC-5688-43103-0003.00;2018-01-03;3; $830.00 ; $39,678.10 ;BC-5688;EGRESOS;EMPRESA 1;1
